1	AISTATS	Artificial Intelligence and Statistics	JMLR	http://dblp.uni-trier.de/db/conf/aistats/
2	ACCV	Asian Conference on Computer Vision	Springer	http://dblp.uni-trier.de/db/conf/accv/
3	ACML	Asian Conference on Machine Learning	JMLR	http://dblp.uni-trier.de/db/conf/acml/
4	BMVC	British Machine Vision Conference British Machine Vision	Association	http://dblp.uni-trier.de/db/conf/bmvc/
5	NLPCC	CCF International Conference on Natural Language Processing and Chinese Computing	Springer	https://dblp.uni-trier.de/db/conf/nlpcc/
6	CoNLL	Conference on Computational Natural Language Learning	Association for Computational Linguistics	http://dblp.uni-trier.de/db/conf/conll
7	GECCO	Genetic and Evolutionary Computation Conference	ACM	http://dblp.uni-trier.de/db/conf/gecco/
8	ICTAI	IEEE International Conference on Tools with Artificial Intelligence	IEEE	http://dblp.uni-trier.de/db/conf/ictai/
9	IROS	IEEE/RSJ International Conference on Intelligent Robots and Systems	IEEE	http://dblp.uni-trier.de/db/conf/iros/
10	ALT	International Conference on Algorithmic Learning Theory	Springer	http://dblp.uni-trier.de/db/conf/alt/
11	ICANN	International Conference on Artificial Neural Networks	Springer	http://dblp.uni-trier.de/db/conf/icann/
12	FG	International Conference on Automatic Face and Gesture Recognition	IEEE	http://dblp.uni-trier.de/db/conf/fgr/
13	ICDAR	International Conference on Document Analysis and Recognition	IEEE	http://dblp.uni-trier.de/db/conf/icdar/
14	ILP	International Conference on Inductive Logic Programming	Springer	http://dblp.uni-trier.de/db/conf/ilp/
15	KSEM	International conference on Knowledge Science, Engineering and Management	Springer	http://dblp.uni-trier.de/db/conf/ksem/
16	ICONIP	International Conference on Neural Information Processing	Springer	http://dblp.uni-trier.de/db/conf/iconip/
17	ICPR	International Conference on Pattern Recognition	IEEE	http://dblp.uni-trier.de/db/conf/icpr/
18	ICB	International Joint Conference on Biometrics	IEEE	http://dblp.uni-trier.de/db/conf/icb/
19	IJCNN	International Joint Conference on Neural Networks	IEEE	http://dblp.uni-trier.de/db/conf/ijcnn/
20	PRICAI	Pacific Rim International Conference on Artificial Intelligence	Springer	http://dblp.uni-trier.de/db/conf/pricai/
21	NAACL	The Annual Conference of the North American Chapter of the Association for Computational Linguistics	NAACL	http://dblp.uni-trier.de/db/conf/naacl/
