1	TAP	ACM Transactions on Applied Perception	ACM	http://dblp.uni-trier.de/db/journals/tap/
2	TSLP	ACM Transactions on Speech and Language Processing	ACM	http://dblp.uni-trier.de/db/journals/tslp/
3	AAMAS	Autonomous Agents and Multi-Agent Systems	Springer	http://dblp.uni-trier.de/db/journals/aamas/
4		Computational Linguistics	MIT Press	http://dblp.uni-trier.de/db/journals/coling/
5	CVIU	Computer Vision and Image Understanding	Elsevier	http://dblp.uni-trier.de/db/journals/cviu/
6	DKE	Data and Knowledge Engineering	Elsevier	http://dblp.uni-trier.de/db/journals/dke/index.html
7		Evolutionary Computation	MIT Press	http://dblp.uni-trier.de/db/journals/ec/
8	TAC	IEEE Transactions on Affective Computing	IEEE	http://dblp.uni-trier.de/db/journals/taffco/
9	TASLP	IEEE Transactions on Audio, Speech, and Language Processing	IEEE	http://dblp.uni-trier.de/db/journals/taslp/
10		IEEE Transactions on Cybernetics	IEEE	http://dblp.uni-trier.de/db/journals/tcyb/
11	TEC	IEEE Transactions on Evolutionary Computation	IEEE	http://dblp.uni-trier.de/db/journals/tec/
12	TFS	IEEE Transactions on Fuzzy Systems	IEEE	http://dblp.uni-trier.de/db/journals/tfs/
13	TNNLS	IEEE Transactions on Neural Networks and learning systems	IEEE	http://dblp.uni-trier.de/db/journals/tnn/
14	IJAR	International Journal of Approximate Reasoning	Elsevier	http://dblp.uni-trier.de/db/journals/ijar/
15	JAIR	Journal of Artificial Intelligence Research	AAAI	http://dblp.uni-trier.de/db/journals/jair/index.html
16		Journal of Automated Reasoning	Springer	http://dblp.uni-trier.de/db/journals/jar/
17	JSLHR	Journal of Speech, Language, and Hearing Research	American Speech-Language Hearing Association	http://jslhr.pubs.asha.org/
18		Machine Learning	Springer	http://dblp.uni-trier.de/db/journals/ml/
19		Neural Computation	MIT Press	http://dblp.uni-trier.de/db/journals/neco/
20		Neural Networks	Elsevier	http://dblp.uni-trier.de/db/journals/nn/
21	PR	Pattern Recognition	Elsevier	http://dblp.uni-trier.de/db/conf/par/
