1	TALLIP	ACM Transactions on Asian and Low-Resource Language Information Processing	ACM	http://dblp.uni-trier.de/db/journals/talip/
2		Applied Intelligence	Springer	http://dblp.uni-trier.de/db/journals/apin/
3	AIM	Artificial Intelligence in Medicine	Elsevier	http://dblp.uni-trier.de/db/journals/artmed/
4		Artificial Life	MIT Press	http://dblp.uni-trier.de/db/journals/alife/
5		Computational Intelligence	Wiley	http://dblp.uni-trier.de/db/journals/ci/
6		Computer Speech and Language	Elsevier	http://dblp.uni-trier.de/db/journals/csl/
7		Connection Science	Taylor & Francis	http://dblp.uni-trier.de/db/journals/connection/
8	DSS	Decision Support Systems	Elsevier	http://dblp.uni-trier.de/db/journals/dss/
9	EAAI	Engineering Applications of Artificial Intelligence	Elsevier	http://dblp.uni-trier.de/db/journals/eaai/
10		Expert Systems	Blackwell/Wiley	http://dblp.uni-trier.de/db/journals/es/
11	ESWA	Expert Systems with Applications	Elsevier	http://dblp.uni-trier.de/db/journals/eswa/
12		Fuzzy Sets and Systems	Elsevier	http://dblp.uni-trier.de/db/journals/fss/
13	TG	IEEE Transactions on Games	IEEE	http://dblp.uni-trier.de/db/journals/tciaig/
14	IET-CVI	IET Computer Vision	IET	http://digital-library.theiet.org/content/journals/iet-cvi
15		IET Signal Processing	IET	http://digital-library.theiet.org/content/journals/iet-spr
16	IVC	Image and Vision Computing	Elsevier	http://dblp.uni-trier.de/db/journals/ivc/
17	IDA	Intelligent Data Analysis	IOS Press	http://dblp.uni-trier.de/db/journals/ida/
18	IJCIA	International Journal of Computational Intelligence and Applications	World Scientific	http://dblp.uni-trier.de/db/journals/ijcia/
19	IJIS	International Journal of Intelligent Systems	Wiley	http://dblp.uni-trier.de/db/journals/ijis/
20	IJNS	International Journal of Neural Systems	World Scientific	http://dblp.uni-trier.de/db/journals/ijns/
21	IJPRAI	International Journal of Pattern Recognition and Artificial Intelligence	World Scientific	http://dblp.uni-trier.de/db/journals/ijprai/
22	IJUFKS	International Journal of Uncertainty, Fuzziness and Knowledge-Based System	World Scientific	https://dblp.uni-trier.de/db/journals/ijufks/
23	IJDAR	International Journal on Document Analysis and Recognition	Springer	http://dblp.uni-trier.de/db/journals/ijdar/
24	JETAI	Journal of Experimental and Theoretical Artificial Intelligence	Taylor & Francis	http://dblp.uni-trier.de/db/journals/jetai/
25	KBS	Knowledge-Based Systems	Elsevier	http://dblp.uni-trier.de/db/journals/kbs/
26		Machine Translation	Springer	http://dblp.uni-trier.de/db/journals/mt/
27		Machine Vision and Applications	Springer	http://dblp.uni-trier.de/db/journals/mva/
28		Natural Computing	Springer	http://dblp.uni-trier.de/db/journals/nc/
29	NLE	Natural Language Engineering	Cambridge University Press	http://dblp.uni-trier.de/db/journals/nle/
30	NCA	Neural Computing & Applications	Springer	http://dblp.uni-trier.de/db/journals/nca/
31	NPL	Neural Processing Letters	Springer	http://dblp.uni-trier.de/db/journals/npl/
32		Neurocomputing	Elsevier	http://dblp.uni-trier.de/db/journals/ijon/
33	PAA	Pattern Analysis and Applications	Springer	http://dblp.uni-trier.de/db/journals/paa/
34	PRL	Pattern Recognition Letters	Elsevier	http://dblp.uni-trier.de/db/journals/prl/
35		Soft Computing	Springer	http://dblp.uni-trier.de/db/journals/soco/
36	WI	Web Intelligence	IOS Press	http://dblp.uni-trier.de/db/journals/wias/
