1	ICMR	ACM SIGMM International Conference on Multimedia Retrieval	ACM	http://dblp.uni-trier.de/db/conf/mir/
2	SI3D	ACM Symposium on Interactive 3D Graphics	ACM	http://dblp.uni-trier.de/db/conf/si3d/
3	SCA	ACM/Eurographics Symposium on Computer Animation	ACM	http://dblp.uni-trier.de/db/conf/sca/index.html
4	DCC	Data Compression Conference	IEEE	http://dblp.uni-trier.de/db/conf/dcc/
5	EG	Eurographics	Wiley/ Blackwell	http://dblp.uni-trier.de/db/conf/eurographics/
6	EuroVis	Eurographics Conference on Visualization	ACM	http://dblp.uni-trier.de/db/conf/vissym/
7	SGP	Eurographics Symposium on Geometry Processing	Wiley/Blackwell	http://dblp.uni-trier.de/db/conf/sgp/
8	EGSR	Eurographics Symposium on Rendering	Wiley/Blackwell	http://dblp.uni-trier.de/db/conf/rt/
9	ICASSP	IEEE International Conference on Acoustics, Speech and SP	IEEE	http://dblp.uni-trier.de/db/conf/icassp/
10	ICME	IEEE International Conference on Multimedia & Expo	IEEE	http://dblp.uni-trier.de/db/conf/icmcs/
11	ISMAR	International Symposium on Mixed and Augmented Reality	IEEE/ACM	http://dblp.uni-trier.de/db/conf/ismar/
12	PG	Pacific Graphics: The Pacific Conference on Computer Graphics and Applications	Wiley/Blackwell	http://dblp.uni-trier.de/db/conf/pg/index.html
13	SPM	Symposium on Solid and Physical Modeling	SMA/Elsevier	http://dblp.uni-trier.de/db/conf/sma/
