1	TOMCCAP	ACM Transactions on Multimedia Computing, Communications and Application	ACM	http://dblp.uni-trier.de/db/journals/tomccap/
2	CAGD	Computer Aided Geometric Design	Elsevier	http://dblp.uni-trier.de/db/journals/cagd/
3	CGF	Computer Graphics Forum	Wiley	http://dblp.uni-trier.de/db/journals/cgf/
4	CAD	Computer-Aided Design	Elsevier	http://dblp.uni-trier.de/db/journals/cad/
5	GM	Graphical Models	Elsevier	http://dblp.uni-trier.de/db/journals/cvgip/
6	TCSVT	IEEE Transactions on Circuits and Systems for Video Technology	IEEE	http://dblp.uni-trier.de/db/journals/tcsv/
7	TMM	IEEE Transactions on Multimedia	IEEE	http://dblp.uni-trier.de/db/journals/tmm/
8	JASA	Journal of The Acoustical Society of America	AIP	http://scitation.aip.org/content/asa/journal/jasa
9	SIIMS	SIAM Journal on Imaging Sciences	SIAM	http://dblp.uni-trier.de/db/journals/siamis/
10	Speech Com	Speech Communication	Elsevier	http://dblp.uni-trier.de/db/journals/speech/
