1	WiSec	ACM Conference on Security and Privacy in Wireless and Mobile Networks	ACM	http://dblp.uni-trier.de/db/conf/wisec/
2	SACMAT	ACM Symposium on Access Control Models and Technologies	ACM	http://dblp.uni-trier.de/db/conf/sacmat/
3	DRM	ACM Workshop on Digital Rights Management	ACM	http://dblp.uni-trier.de/db/conf/drm/
4	IH&MMSec	ACM Workshop on Information Hiding and Multimedia Security	ACM	http://dblp.uni-trier.de/db/conf/ih/
5	ACNS	Applied Cryptography and Network Security	Springer	http://dblp.uni-trier.de/db/conf/acns/
6	AsiaCCS	Asia Conference on Computer and Communications Security	ACM	http://dblp.uni-trier.de/db/conf/ccs/
7	ACISP	Australasia Conference on Information Security and Privacy	Springer	http://dblp.uni-trier.de/db/conf/acisp/
8	CT-RSA	Cryptographer's Track at RSA Conference	Springer	http://dblp.uni-trier.de/db/conf/ctrsa/
9	DIMVA	Detection of Intrusions and Malware & Vulnerability	Assessment	 http://dblp.uni-trier.de/db/conf/dimva/
10	DFRWS	Digital Forensic Research Workshop	Elsevier	http://dblp.uni-trier.de/db/conf/dfrws/
11	FC	Financial Cryptography and Data Security	Springer	http://dblp.uni-trier.de/db/conf/fc/
12	TrustCom	IEEE International Conference on Trust, Security and Privacy in Computing and Communications	IEEE	http://dblp.uni-trier.de/db/conf/trustcom/
13	SEC	IFIP International Information Security Conference	Springer	http://dblp.uni-trier.de/db/conf/sec/
14	IFIP WG 11.9	IFIP WG 11.9 International Conference on Digital Forensics	Springer	http://www.ifip119.org/Conferences/
15	ISC	Information Security Conference	Springer	http://dblp.uni-trier.de/db/conf/isw/
16	ICDF2C	International Conference on Digital Forensics & Cyber Crime	Springer	http://dblp.uni-trier.de/db/conf/icdf2c/
17	ICICS	International Conference on Information and Communications Security	Springer	http://dblp.uni-trier.de/db/conf/icics/
18	SecureComm	International Conference on Security and Privacy in Communication Networks	ACM	http://dblp.uni-trier.de/db/conf/securecomm/
19	NSPW	New Security Paradigms Workshop	ACM	http://dblp.uni-trier.de/db/conf/nspw/
20	PAM	Passive and Active Measurement Conference	Springer	http://dblp.uni-trier.de/db/conf/pam/
21	PETS	Privacy Enhancing Technologies Symposium	Springer	http://dblp.uni-trier.de/db/conf/pet/
22	SAC	Selected Areas in Cryptography	Springer	http://dblp.uni-trier.de/db/conf/sacrypt/
23	SOUPS	Symposium On Usable Privacy and Security	USENIX	http://dblp.uni-trier.de/db/conf/soups/
24	HotSec	USENIX Workshop on Hot Topics in Security	USENIX	http://www.usenix.org/events/
